BalancedAcc,Accuracy,MacroF1,MacroPrecision,MacroRecall,Kappa,N,Recall_c0,Recall_c1,Recall_c2,AUC_ovr,AUC_c0,AUC_c1,AUC_c2,FatalMiss_c2_to_c0,fold,seed
0.5921372403331167,0.6212121212121212,0.5874242424242424,0.6312850305125587,0.5921372403331167,0.4020926756352765,264,0.375,0.5045045045045045,0.8969072164948454,0.802400222607725,0.8079498626373627,0.7139492433610081,0.885301561824804,0.0,2,44
0.6476985691775344,0.6318181818181818,0.6161483778278575,0.6233804585201099,0.6476985691775344,0.44617105917454003,220,0.7209302325581395,0.449438202247191,0.7727272727272727,0.8048891678573055,0.8252529234003416,0.7293078308602796,0.8601067493112948,0.056818181818181816,3,44
0.6589165440028547,0.6707818930041153,0.6583413068849961,0.659994237971766,0.6589165440028547,0.48948239186953435,243,0.5849056603773585,0.5833333333333334,0.8085106382978723,0.8305038539131967,0.8590863952333665,0.7382369614512472,0.8941882050549764,0.010638297872340425,4,44
0.5787221217600965,0.5770925110132159,0.5834836573191406,0.5950908150338698,0.5787221217600965,0.3628070175438597,227,0.5,0.6075949367088608,0.6285714285714286,0.7691912970166176,0.7311994493202547,0.7601778994184057,0.816196542311192,0.15714285714285714,0,45
0.561836427291972,0.5674603174603174,0.5481064532401037,0.5560785504605729,0.561836427291972,0.3428079242032731,252,0.5625,0.5056179775280899,0.6173913043478261,0.747001069075536,0.7461192810457516,0.6689873854001517,0.8258965407807045,0.14782608695652175,1,45
0.6315522075831353,0.6477272727272727,0.6309005083514888,0.6322407084089327,0.6315522075831353,0.4513519553072626,264,0.5178571428571429,0.6036036036036037,0.7731958762886598,0.8325235617994796,0.8374828296703296,0.7630571748218806,0.8970306809062288,0.0,2,45
0.661634637464269,0.6681818181818182,0.6484241831272763,0.6479114452798663,0.661634637464269,0.49279939363314806,220,0.627906976744186,0.5842696629213483,0.7727272727272727,0.8303805975277712,0.8365523584285902,0.7741658804357149,0.8804235537190083,0.11363636363636363,3,45
0.6455350372451938,0.6584362139917695,0.639471956852632,0.6382433693189391,0.6455350372451938,0.476727895392279,243,0.5660377358490566,0.5833333333333334,0.7872340425531915,0.8113124589560643,0.8027805362462761,0.7643140589569161,0.8668427816650007,0.09574468085106383,4,45
0.578312545401153,0.5682819383259912,0.559867849069727,0.5747780666619821,0.578312545401153,0.35734920268084125,227,0.47435897435897434,0.4177215189873418,0.8428571428571429,0.7974278262982771,0.7931509206676992,0.7358022579541568,0.8633303002729754,0.07142857142857142,0,46
0.5928506486457147,0.5753968253968254,0.5464084934673169,0.555441618813235,0.5928506486457147,0.3594032120117837,252,0.7708333333333334,0.30337078651685395,0.7043478260869566,0.7902750689203805,0.8108660130718954,0.7012476735369132,0.8587115201523325,0.13043478260869565,1,46
0.6693219360745134,0.6931818181818182,0.6718855617505867,0.678858717524213,0.6693219360745134,0.5193418597855649,264,0.5178571428571429,0.6756756756756757,0.8144329896907216,0.8140539383363015,0.793956043956044,0.7687687687687687,0.8794370022840916,0.010309278350515464,2,46
0.618477365766365,0.5818181818181818,0.5594488356506845,0.6299082861582862,0.618477365766365,0.38855658268382565,220,0.7906976744186046,0.30337078651685395,0.7613636363636364,0.8244342929775387,0.8341873603994219,0.7914915515910455,0.8476239669421488,0.19318181818181818,3,46
0.643520841696775,0.6625514403292181,0.6414907182618504,0.6413509629529047,0.643520841696775,0.477871236538008,243,0.5283018867924528,0.59375,0.8085106382978723,0.8405186297196007,0.8516385302879841,0.7654478458049886,0.9044695130658289,0.06382978723404255,4,46
